proc,proc_code,item,comm_code,avg_trees,min,max
Starch of potatoes production,p256,Starch of potatoes,c290,,0.16,0.22
Tapioca of potatoes production,p257,Tapioca of potatoes,c291,,,0.2
Cassava (dry) production,p260,"Cassava, dry",c294,,,0.35
Flour of cassava production,p258,Flour of cassava,c292,,,0.3
Tapioca of cassava production,p259,Tapioca of cassava,c293,,,0.2
Starch of cassava production,p261,Starch of cassava,c295,,,0.25
"Edible roots and tubers with high starch or inulin content (dry) production, n.e.c.",p263,"Edible roots and tubers with high starch or inulin content, n.e.c., dry",c297,,,0.3
"Flour of roots and tubers production, n.e.c.",p262,Flour of roots and tubers n.e.c.,c296,,,0.25
Refined sugar production,p268,Refined sugar,c302,,,0.935
Centrifugal cane sugar production,p264,"Cane sugar, centrifugal",c298,0.09,,0.13
Centrifugal cane sugar production,p264,Molasses,c303,,,0.05
Tomato juice production,p329,Tomato juice,c379,,,0.8
Paste of tomatoes production,p330,Paste of tomatoes,c380,,,0.25
Peeled tomatoes (o/t vinegar) production,p331,"Tomatoes, peeled (o/t vinegar)",c381,,,0.8
Frozen sweet corn production,p332,"Sweet corn, frozen",c382,,,0.35
Sweet corn preparation or preservation,p333,"Sweet corn, prepared or preserved",c383,,,0.45
Dried mushrooms production,p334,Dried mushrooms,c384,0.26,,0.3
Canned mushrooms production,p335,Canned mushrooms,c385,,,1.1
Orange juice production,p346,Orange juice,c396,,,0.55
Orange juice (concentrated) production,p347,"Orange juice, concentrated",c397,0.1,,0.15
Juice of lemon production,p349,Juice of lemon,c399,0.39,,0.45
Grapefruit juice production,p351,Grapefruit juice,c401,0.47,,0.55
