"EXIOBASE_sector","EXIOBASE_sector_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC"
"Textiles (17)",55,"Soft-Fibres, Other",2664,"c055","C"
"Textiles (17)",55,"Wool (Clean Eq.)",2746,"c112","C"
"Wearing apparel; furs (18)",56,,,,
"Leather and leather products (19)",57,,,,
"Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)",58,,,,
"Wood material for treatment, Re-processing of secondary wood material into new wood material",59,,,,
"Pulp",60,,,,
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",61,,,,
"Paper and paper products",62,,,,
"Printed matter and recorded media (22)",63,,,,
"Coke Oven Coke",64,,,,
"Gas Coke",65,,,,
"Coal Tar",66,,,,
"Motor Gasoline",67,,,,
"Aviation Gasoline",68,,,,
"Gasoline Type Jet Fuel",69,,,,
"Kerosene Type Jet Fuel",70,,,,
"Kerosene",71,,,,
"Gas/Diesel Oil",72,,,,
"Heavy Fuel Oil",73,,,,
"Refinery Gas",74,,,,
"Liquefied Petroleum Gases (LPG)",75,,,,
"Refinery Feedstocks",76,,,,
"Ethane",77,,,,
"Naphtha",78,,,,
"White Spirit & SBP",79,,,,
"Lubricants",80,,,,
"Bitumen",81,,,,
"Paraffin Waxes",82,,,,
"Petroleum Coke",83,,,,
"Non-specified Petroleum Products",84,,,,
"Nuclear fuel",85,,,,
"Plastics, basic",86,,,,
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",87,,,,
"N-fertiliser",88,,,,
"P- and other fertiliser",89,,,,
"Chemicals nec",90,"Alcohol, Non-Food",2659,"c094","C"
"Charcoal",91,,,,
"Additives/Blending Components",92,,,,
"Biogasoline",93,,,,
"Biodiesels",94,,,,
"Other Liquid Biofuels",95,,,,
"Rubber and plastic products (25)",96,,,,
"Glass and glass products",97,,,,
"Secondary glass for treatment, Re-processing of secondary glass into new glass",98,,,,
"Ceramic goods",99,,,,
"Bricks, tiles and construction products, in baked clay",100,,,,
"Cement, lime and plaster",101,,,,
"Ash for treatment, Re-processing of ash into clinker",102,,,,
"Other non-metallic mineral products",103,,,,
"Basic iron and steel and of ferro-alloys and first products thereof",104,,,,
"Secondary steel for treatment, Re-processing of secondary steel into new steel",105,,,,
"Precious metals",106,,,,
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",107,,,,
"Aluminium and aluminium products",108,,,,
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",109,,,,
"Lead, zinc and tin and products thereof",110,,,,
"Secondary lead for treatment, Re-processing of secondary lead into new lead",111,,,,
"Copper products",112,,,,
"Secondary copper for treatment, Re-processing of secondary copper into new copper",113,,,,
"Other non-ferrous metal products",114,,,,
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",115,,,,
"Foundry work services",116,,,,
"Fabricated metal products, except machinery and equipment (28)",117,,,,
"Machinery and equipment n.e.c. (29)",118,,,,
"Office machinery and computers (30)",119,,,,
"Electrical machinery and apparatus n.e.c. (31)",120,,,,
"Radio, television and communication equipment and apparatus (32)",121,,,,
"Medical, precision and optical instruments, watches and clocks (33)",122,,,,
"Motor vehicles, trailers and semi-trailers (34)",123,,,,
"Other transport equipment (35)",124,,,,
"Furniture; other manufactured goods n.e.c. (36)",125,,,,
"Secondary raw materials",126,,,,
"Bottles for treatment, Recycling of bottles by direct reuse",127,,,,
"Electricity by coal",128,,,,
"Electricity by gas",129,,,,
"Electricity by nuclear",130,,,,
"Electricity by hydro",131,,,,
"Electricity by wind",132,,,,
"Electricity by petroleum and other oil derivatives",133,,,,
"Electricity by biomass and waste",134,,,,
"Electricity by solar photovoltaic",135,,,,
"Electricity by solar thermal",136,,,,
"Electricity by tide, wave, ocean",137,,,,
"Electricity by Geothermal",138,,,,
"Electricity nec",139,,,,
"Transmission services of electricity",140,,,,
"Distribution and trade services of electricity",141,,,,
"Coke oven gas",142,,,,
"Blast Furnace Gas",143,,,,
"Oxygen Steel Furnace Gas",144,,,,
"Gas Works Gas",145,,,,
"Biogas",146,,,,
"Distribution services of gaseous fuels through mains",147,,,,
"Steam and hot water supply services",148,,,,
"Collected and purified water, distribution services of water (41)",149,,,,
"Construction work (45)",150,,,,
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",151,,,,
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",152,,,,
"Retail trade services of motor fuel",153,,,,
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",154,,,,
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",155,,,,
"Hotel and restaurant services (55)",156,,,,
"Railway transportation services",157,,,,
"Other land transportation services",158,,,,
"Transportation services via pipelines",159,,,,
"Sea and coastal water transportation services",160,,,,
"Inland water transportation services",161,,,,
"Air transport services (62)",162,,,,
"Supporting and auxiliary transport services; travel agency services (63)",163,,,,
"Post and telecommunication services (64)",164,,,,
"Financial intermediation services, except insurance and pension funding services (65)",165,,,,
"Insurance and pension funding services, except compulsory social security services (66)",166,,,,
"Services auxiliary to financial intermediation (67)",167,,,,
"Real estate services (70)",168,,,,
"Renting services of machinery and equipment without operator and of personal and household goods (71)",169,,,,
"Computer and related services (72)",170,,,,
"Research and development services (73)",171,,,,
"Other business services (74)",172,,,,
"Public administration and defence services; compulsory social security services (75)",173,,,,
"Education services (80)",174,,,,
"Health and social work services (85)",175,,,,
"Food waste for treatment: incineration",176,,,,
"Paper waste for treatment: incineration",177,,,,
"Plastic waste for treatment: incineration",178,,,,
"Intert/metal waste for treatment: incineration",179,,,,
"Textiles waste for treatment: incineration",180,,,,
"Wood waste for treatment: incineration",181,,,,
"Oil/hazardous waste for treatment: incineration",182,,,,
"Food waste for treatment: biogasification and land application",183,,,,
"Paper waste for treatment: biogasification and land application",184,,,,
"Sewage sludge for treatment: biogasification and land application",185,,,,
"Food waste for treatment: composting and land application",186,,,,
"Paper and wood waste for treatment: composting and land application",187,,,,
"Food waste for treatment: waste water treatment",188,,,,
"Other waste for treatment: waste water treatment",189,,,,
"Food waste for treatment: landfill",190,,,,
"Paper for treatment: landfill",191,,,,
"Plastic waste for treatment: landfill",192,,,,
"Inert/metal/hazardous waste for treatment: landfill",193,,,,
"Textiles waste for treatment: landfill",194,,,,
"Wood waste for treatment: landfill",195,,,,
"Membership organisation services n.e.c. (91)",196,,,,
"Recreational, cultural and sporting services (92)",197,,,,
"Other services (93)",198,,,,
"Private households with employed persons (95)",199,,,,
"Extra-territorial organizations and bodies",200,,,,
,,"Grazing",2001,"c062",
"Plant-based fibers",7,"Cottonseed",2559,"c063","A"
"Oil seeds",5,"Palm kernels",2562,"c064","A"
"Plant-based fibers",7,"Cotton lint",2661,"c095","A"
