"JPN_IOT2011_item","JPN_IOT2011_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Bottled or canned vegetables and fruits","111601","Grapefruit and products",2613,"c036","C",
"Bottled or canned vegetables and fruits","111601","Citrus, Other",2614,"c037","C",
"Bottled or canned vegetables and fruits","111601","Apples and products",2617,"c040","C",
"Bottled or canned vegetables and fruits","111601","Pineapples and products",2618,"c041","C",
"Bottled or canned vegetables and fruits","111601","Grapes and products (excl wine)",2620,"c043","C",
"Bottled or canned vegetables and fruits","111601","Fruits, Other",2625,"c044","C",
"Bottled or canned vegetables and fruits","111601","Cassava and products",2532,"c011","C",
"Bottled or canned vegetables and fruits","111601","Yams",2535,"c014","C",
"Bottled or canned vegetables and fruits","111601","Coconuts - Incl Copra",2560,"c026","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Potatoes and products",2531,"c010","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Sweet potatoes",2533,"c012","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Roots, Other",2534,"c013","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Tomatoes and products",2601,"c031","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Onions",2602,"c032","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Vegetables, Other",2605,"c033","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Pulses, Other and products",2549,"c019","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Nuts and products",2551,"c020","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Oranges, Mandarines",2611,"c034","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Lemons, Limes and products",2612,"c035","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Grapefruit and products",2613,"c036","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Citrus, Other",2614,"c037","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Apples and products",2617,"c040","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Pineapples and products",2618,"c041","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Grapes and products (excl wine)",2620,"c043","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Fruits, Other",2625,"c044","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Cassava and products",2532,"c011","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Yams",2535,"c014","C",
"Preserved agricultural foodstuffs (except bottled or canned)","111602","Coconuts - Incl Copra",2560,"c026","C",
"Sugar","111701","Sugar (Raw Equivalent)",2542,"c066","C",
"Sugar","111701","Sugar non-centrifugal",2541,"c065","C",
"Starch","111702","Maize and products",2514,"c004","C",
"Starch","111702","Potatoes and products",2531,"c010","C",
"Dextrose, syrup and isomerized sugar","111703","Sweeteners, Other",2543,"c067","C",
"Animal oil and fats, vegetable oil and meal","111704","Soyabean Oil",2571,"c068","C",
"Animal oil and fats, vegetable oil and meal","111704","Groundnut Oil",2572,"c069","C",
"Animal oil and fats, vegetable oil and meal","111704","Sunflowerseed Oil",2573,"c070","C",
"Animal oil and fats, vegetable oil and meal","111704","Rape and Mustard Oil",2574,"c071","C",
"Animal oil and fats, vegetable oil and meal","111704","Cottonseed Oil",2575,"c072","C",
"Animal oil and fats, vegetable oil and meal","111704","Palmkernel Oil",2576,"c073","C",
"Animal oil and fats, vegetable oil and meal","111704","Palm Oil",2577,"c074","C",
"Animal oil and fats, vegetable oil and meal","111704","Coconut Oil",2578,"c075","C",
"Animal oil and fats, vegetable oil and meal","111704","Sesameseed Oil",2579,"c076","C",
"Animal oil and fats, vegetable oil and meal","111704","Olive Oil",2580,"c077","C",
"Animal oil and fats, vegetable oil and meal","111704","Ricebran Oil",2581,"c078","C",
"Animal oil and fats, vegetable oil and meal","111704","Maize Germ Oil",2582,"c079","C",
"Animal oil and fats, vegetable oil and meal","111704","Oilcrops Oil, Other",2586,"c080","C",
"Animal oil and fats, vegetable oil and meal","111704","Soyabean Cake",2590,"c081","C",
"Animal oil and fats, vegetable oil and meal","111704","Groundnut Cake",2591,"c082","C",
"Animal oil and fats, vegetable oil and meal","111704","Sunflowerseed Cake",2592,"c083","C",
"Animal oil and fats, vegetable oil and meal","111704","Rape and Mustard Cake",2593,"c084","C",
"Animal oil and fats, vegetable oil and meal","111704","Cottonseed Cake",2594,"c085","C",
"Animal oil and fats, vegetable oil and meal","111704","Palmkernel Cake",2595,"c086","C",
"Animal oil and fats, vegetable oil and meal","111704","Copra Cake",2596,"c087","C",
"Animal oil and fats, vegetable oil and meal","111704","Sesameseed Cake",2597,"c088","C",
"Animal oil and fats, vegetable oil and meal","111704","Oilseed Cakes, Other",2598,"c089","C",
"Condiments and seasonings","111705","Spices, Other",2645,"c052","C",
"Condiments and seasonings","111705","Pulses, Other and products",2549,"c019","C",
"Prepared frozen foods","111901",,,,,
"Retort foods","111902",,,,,
"Dishes, sushi and lunch boxes","111903",,,,,
"School lunch (public) **","111904",,,,,
"School lunch (private) *","111905",,,,,
"Miscellaneous foods","111909","Pulses, Other and products",2549,"c019","C",
"Miscellaneous foods","111909","Cereals, Other",2520,"c009","C",
"Refined sake","112101","Beverages, Fermented",2657,"c092","C",
"Malt liquors","112102","Beer",2656,"c091","C",
"Whiskey and brandy","112103","Beverages, Alcoholic",2658,"c093","C",
"Miscellaneous liquors","112109","Wine",2655,"c090","C",
"Miscellaneous liquors","112109","Beverages, Fermented",2657,"c092","C",
"Miscellaneous liquors","112109","Beverages, Alcoholic",2658,"c093","C",
"Tea and roasted coffee","112901","Coffee and products",2630,"c045","C",
"Tea and roasted coffee","112901","Tea (including mate)",2635,"c047","C",
"Soft drinks","112902",,,,,
"Manufactured ice","112903",,,,,
"Feeds","113101","Soyabean Cake",2590,"c081","C",
"Feeds","113101","Groundnut Cake",2591,"c082","C",
"Feeds","113101","Sunflowerseed Cake",2592,"c083","C",
"Feeds","113101","Rape and Mustard Cake",2593,"c084","C",
"Feeds","113101","Cottonseed Cake",2594,"c085","C",
"Feeds","113101","Palmkernel Cake",2595,"c086","C",
"Feeds","113101","Copra Cake",2596,"c087","C",
"Feeds","113101","Sesameseed Cake",2597,"c088","C",
"Feeds","113101","Oilseed Cakes, Other",2598,"c089","C",
"Organic fertilizers, n.e.c.","113102",,,,,
"Tobacco","114101","Tobacco",2671,"c059","C",
"Fiber yarns","151101","Soft-Fibres, Other",2664,"c055","C",
"Fiber yarns","151101","Wool (Clean Eq.)",2746,"c112","C",
"Fiber yarns","151101","Silk",2747,"c122","C",
"Cotton and staple fiber fabrics (including fabrics of synthetic spun fibers)","151201",,,,,
"Silk and artificial silk fabrics (including fabrics of synthetic filament fibers)","151202",,,,,
"Miscellaneous fabrics","151209",,,,,
"Knitting fabrics","151301",,,,,
"Yarn and fabric dyeing and finishing (processing on commission only)","151401",,,,,
"Miscellaneous fabricated textile products","151909",,,,,
"Woven fabric apparel","152101",,,,,
"Knitted apparel","152102",,,,,
"Miscellaneous wearing apparel and clothing accessories","152209",,,,,
"Bedding","152901",,,,,
"Carpets and floor mats","152902",,,,,
"Miscellaneous ready-made textile products","152909",,,,,
"Timber","161101",,,,,
"Plywood, glued laminated timber","161102",,,,,
"Wooden chips","161103",,,,,
"Miscellaneous wooden products","161909",,,,,
"Wooden furniture","162101",,,,,
"Metallic furniture","162102",,,,,
"Wooden fixtures","162103",,,,,
"Miscellaneous furniture and fixtures","162109",,,,,
"Pulp","163101",,,,,
"Paper","163201",,,,,
"Paperboard","163202",,,,,
"Corrugated cardboard","163301",,,,,
"Coated paper and building (construction) paper","163302",,,,,
"Corrugated card board boxes","164101",,,,,
"Miscellaneous paper containers","164109",,,,,
"Paper textile for medical use","164901",,,,,
"Miscellaneous pulp, paper and processed paper products","164909",,,,,
"Printing, plate making and book binding","191101",,,,,
"Chemical fertilizer","201101",,,,,
"Industrial soda chemicals","202101",,,,,
"Inorganic pigment","202901",,,,,
"Compressed gas and liquefied gas","202902",,,,,
"Salt","202903",,,,,
"Miscellaneous industrial inorganic chemicals","202909",,,,,
"Petrochemical basic products","203101",,,,,
"Petrochemical aromatic products (except synthetic resin)","203102",,,,,
"Aliphatic intermediates","204101",,,,,
"Cyclic intermediates","204102",,,,,
"Synthetic dyes and organic pigments","204103",,,,,
"Synthetic rubber","204201",,,,,
"Methane derivatives","204901",,,,,
"Plasticizers","204902",,,,,
"Miscellaneous industrial organic chemicals","204909",,,,,
"Thermo-setting resins","205101",,,,,
"Thermoplastics resins","205102",,,,,
"High function resins","205103",,,,,
"Miscellaneous synthetic resins","205109",,,,,
"Rayon and acetate","206101",,,,,
"Synthetic fibers","206102",,,,,
"Medicaments","207101",,,,,
"Oil and fat products, soap, synthetic detergents and surface active agents","208101",,,,,
"Cosmetics, toilet preparations and dentifrices","208102",,,,,
"Paint and varnishes","208201",,,,,
"Printing ink","208202",,,,,
"Photographic sensitive materials","208301",,,,,
"Agricultural chemicals","208401",,,,,
"Gelatin and adhesives","208901",,,,,
"Miscellaneous final chemical products","208909",,,,,
"Petroleum refinery products (including greases)","211101",,,,,
"Coal products","212101",,,,,
"Paving materials","212102",,,,,
"Plastic products","221101",,,,,
"Tires and inner tubes","222101",,,,,
"Rubber and plastic footwear","222901",,,,,
"Miscellaneous rubber products","222909",,,,,
"Leather footwear","231101",,,,,
"Leather and fur skins","231201",,,,,
"Baggage, handbags, small leather cases and miscellaneous leather products","231202",,,,,
"Sheet glass and safety glass","251101",,,,,
"Glass fiber and glass fiber products, n.e.c.","251102",,,,,
"Miscellaneous glass products","251109",,,,,
"Cement","252101",,,,,
"Ready mixed concrete","252102",,,,,
"Cement products","252103",,,,,
"Pottery, china and earthenware","253101",,,,,
"Clay refractories","259101",,,,,
"Miscellaneous structural clay products","259109",,,,,
"Carbon and graphite products","259901",,,,,
"Abrasive","259902",,,,,
"Miscellaneous ceramic, stone and clay products","259909",,,,,
"Pig iron","261101",,,,,
"Ferro alloys","261102",,,,,
"Crude steel (converters)","261103",,,,,
"Crude steel (electric furnaces)","261104",,,,,
"Hot rolled steel","262101",,,,,
"Steel pipes and tubes","262201",,,,,
"Cold-finished steel","262301",,,,,
"Coated steel","262302",,,,,
"Cast and forged steel","263101",,,,,
"Cast iron pipes and tubes","263102",,,,,
"Cast and forged materials (iron)","263103",,,,,
"Iron and steel shearing and slitting","269901",,,,,
"Miscellaneous iron or steel products","269909",,,,,
"Copper","271101",,,,,
