item_code,item,item_hfubc
92,Quinoa,
788,"Ramie, raw or retted",
270,Rape or colza seed,
270,Rape or colza seed,Oilseed (rape)
270,Rape or colza seed,Oilseed rape
270,Rape or colza seed,Rape
270,Rape or colza seed,Rape seed & Mustard
270,Rape or colza seed,Rapeseed
270,Rape or colza seed,Rapeseed & Canola
270,Rape or colza seed,Rapeseed & Mustard
270,Rape or colza seed,Rapeseed/Winter
547,Raspberries,Raspberry
27,Rice,Paddy
27,Rice,Rice
27,Rice,Rice (Aman)
27,Rice,Rice (Aus)
27,Rice,Rice (Boro)
27,Rice,Rice (irrigated)
27,Rice,Rice (rainfed)
27,Rice,"Rice, paddy"
27,Rice,Rice/Irrigated
27,Rice,Rice/Rainfed
27,Rice,"Rye,  oat, rice"
27,Rice,"Rye, oat rice"
27,Rice,"Rye, oat, rice"
27,Rice,"Rye, oat. Rice"
71,Rye,Oat/Rye
71,Rye,Rye
71,Rye,Rye & Oat
71,Rye,Rye (winter)
71,Rye,"Rye,  oat, rice"
71,Rye,"Rye, oat rice"
71,Rye,"Rye, oat, rice"
71,Rye,"Rye, oat. Rice"
71,Rye,Rye/Oat
280,Safflower seed,Safflower
280,Safflower seed,Safflower seed
328,"Seed cotton, unginned",Cotton
328,"Seed cotton, unginned",Seed cotton
289,Sesame seed,Sesame
789,"Sisal, raw",Sisal
83,Sorghum,Grain Sorghum
83,Sorghum,Maize&Sorghum
83,Sorghum,Sorghum
83,Sorghum,Sorghum/Grain
83,Sorghum,Teff
530,Sour cherries,
236,Soya beans,Soybean
236,Soya beans,Soybeans
236,Soya beans,"Sunflower,  soya, linseed"
236,Soya beans,"Sunflower, soybean, linseed"
236,Soya beans,"Sunflower. Soya, linseed"
373,Spinach,
373,Spinach,Fresh spinach
373,Spinach,Spinach
373,Spinach,Spinach/Fresh
544,Strawberries,Strawberry
423,String beans,
423,String beans,Bean/Fresh Snap
423,String beans,French Bean
423,String beans,French bean
423,String beans,Fresh snap beans
157,Sugar beet,Sugar Beet
157,Sugar beet,Sugar beet
157,Sugar beet,sugar Beet
156,Sugar cane,Sugar Cane
156,Sugar cane,Sugar cane
156,Sugar cane,Sugarcane
156,Sugar cane,sugar Cane
156,Sugar cane,sugar cane
267,Sunflower seed,Sunflower
267,Sunflower seed,Sunflower seed
267,Sunflower seed,"Sunflower,  soya, linseed"
267,Sunflower seed,"Sunflower, soybean, linseed"
267,Sunflower seed,"Sunflower. Soya, linseed"
267,Sunflower seed,sunflower
122,Sweet potatoes,Potato (Sweet)
122,Sweet potatoes,Potato (sweet)
122,Sweet potatoes,Potato sweet
122,Sweet potatoes,"Potato, sweet"
122,Sweet potatoes,Potato/Sweet
305,Tallowtree seeds,
495,"Tangerines, mandarins, clementines",Tangerine
136,Taro,Taro
667,Tea leaves,Tea
388,Tomatoes,Fresh tomatoes
388,Tomatoes,Tomato
388,Tomatoes,Tomato/Fresh
97,Triticale,Triticale
777,"True hemp, raw or retted",
275,Tung nuts,
826,Unmanufactured tobacco,Other (tobacco)
826,Unmanufactured tobacco,Tobacco
826,Unmanufactured tobacco,Tobacco (Burley)
826,Unmanufactured tobacco,Tobacco (Virgina)
826,Unmanufactured tobacco,Tobacco leaves
826,Unmanufactured tobacco,Tobacco/Burley
826,Unmanufactured tobacco,Tobacco/Virginia
692,"Vanilla, raw",
205,Vetches,Vetch
222,"Walnuts, in shell",
567,Watermelons,Water Melon
567,Watermelons,Water-Melon
567,Watermelons,Water-melon
567,Watermelons,WaterMelon
567,Watermelons,Watermelon
15,Wheat,Native Wheat
15,Wheat,Wheat
15,Wheat,Wheat (Durum)
15,Wheat,Wheat (Spring)
15,Wheat,Wheat (Winter)
