hs_code,hs_name,isscaap_code,isscaap_name,source,fbs_code,fbs_name,fao_group_code,fao_group_name,tcf
30353,"Pilchards(Sardinops spp.) and Sardinellas, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30354,"Atlantic mackerel, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30355,"Jack and horse mackerel, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30356,"Cobia, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1
30357,"Swordfish, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.13
30359,"Bonito, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.13
30360,"Cod, frozen, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.5
30363,"Atlantic cod, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.5
30364,"Haddock, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.4
30365,"Saithe (=Pollock), frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.4
30366,"South Pacific hake, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.5
30367,"Alaska pollock, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.4
30368,"Blue whiting (Micromesistius poutassou), frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.3
30369,"Tusk, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.3
30371,"Sardines, brisling, sprats, frozen, whole",3,Marine fishes,baci,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30372,"Haddock, frozen, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.4
30373,"Coalfish, frozen, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.51
30374,"Mackerel, frozen, whole",3,Marine fishes,baci,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30375,"Dogfish and other sharks, frozen, whole",3,Marine fishes,baci,2764,"Marine Fish, Other",1540,Marine Fish NEI,1.34
30376,"Eels, frozen, whole",2,Diadromous fishes,baci,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1
30377,"Sea bass, frozen, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.18
30378,"Hake, frozen, whole",3,Marine fishes,baci,2762,Demersal Fish,1514,Demersal Marine Fish,1.5
30379,"Fish nes, frozen, whole",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,1.2
30380,"Fish livers and roes, frozen",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,1
30381,"Dogfish and other sharks nei (excl. Squalus acanthias, Scyliorhinus spp., Lamna nasus, Prionace glauca), frozen",3,Marine fishes,proc,2764,"Marine Fish, Other",1540,Marine Fish NEI,1.34
30382,"Rays and skates (Rajidae), frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.3
30383,"Toothfish (Dissostichus spp.), frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.3
30384,"Seabass, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1.18
30389,"Pomfrets, ocean breams, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,1
30391,"Cod roes, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,1
30392,"Shark fins, frozen",3,Marine fishes,proc,2764,"Marine Fish, Other",1540,Marine Fish NEI,10
30399,"Fish heads, tails, maws, tongues, nei frozen",10,Fish nes,proc,2997,Fish nes,1997,Fish nes,1
30410,"Fish fillet or meat, fresh or chilled, not liver, roe",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,2.5
30420,"Fish fillets, frozen",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,2.65
30431,"Tilapia fillets, fresh or chilled",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.5
30432,"Catfish fillets, fresh or chilled",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.5
30433,"Nile perch fillets, fresh or chilled",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.5
30439,"River eel fillets, fresh or chilled, nei",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.5
30441,"Salmon fillets, fresh or chilled",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.5
30442,"Trout fillets, fresh and chilled",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.5
30443,"European plaice fillets, fresh or chilled",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.5
30444,"Atlantic cod, fillets, fresh or chilled",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.5
30445,"Swordfish fillets, fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.5
30446,"Toothfish (Dissostichus spp.), fillets, fresh or chilled",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.5
30447,"Dogfish (Squalidae) and other sharks, fillets, fresh or chilled",3,Marine fishes,proc,2764,"Marine Fish, Other",1540,Marine Fish NEI,2.5
30448,"Rays and skates (Rajidae) fillets, fresh or chilled",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.5
30449,"Miscellaneous demersal fish, fillets, fresh or chilled, nei,",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.5
30451,"Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, fresh or chilled",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.5
30452,"Salmon steaks, fresh or chilled",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30453,"Gadiformes, meat, fresh or chilled, nei",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.5
30454,"Swordfish, meat, fresh or chilled",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.5
30456,"Dogfish and other sharks, meat, whether or not minced, fresh or chilled",3,Marine fishes,proc,2764,"Marine Fish, Other",1540,Marine Fish NEI,2.5
30459,"Fish steaks, fresh or chilled, nei",10,Fish nes,proc,2997,Fish nes,1997,Fish nes,2.65
30461,"Tilapia fillets, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30462,"Catfish fillets, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30463,"Nile perch fillets, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30469,"River eel fillets, frozen, nei",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30471,"Atlantic cod fillets, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30472,"Haddock fillets, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30473,"Saithe (=Pollock) fillets, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30474,"Hake fillets in blocks, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30475,"Alaska pollock fillets, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30479,"Ling fillets, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30481,"Salmon fillets, frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30482,"Trout fillets, frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30483,"Greenland halibut fillets, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30484,"Swordfish fillets, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
30485,"Toothfish (Dissostichus spp.), fillets, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30486,"Atlantic herring fillets, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
30487,"Tuna loins and fillets, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
30488,"Shark fillets nei, frozen",3,Marine fishes,proc,2764,"Marine Fish, Other",1540,Marine Fish NEI,2.65
30489,"Atka mackerel fillets, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.65
30490,"Fish meat & mince, except liver, roe & fillets, frozen",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,2.5
30491,"Swordfish meat, frozen",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,2.5
30493,"Catfish steaks, frozen",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30494,"Alaska pollock, portions and sticks, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30495,"Hake minced, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.65
30496,"Dogfish (Squalidae) and other sharks, meat, frozen",3,Marine fishes,proc,2764,"Marine Fish, Other",1540,Marine Fish NEI,2.5
30497,"Rays and skates (Rajidae) meat, frozen",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,2.5
30499,"Salmon steaks, frozen",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.65
30510,"Flours, meals & pellets of fish for human consumption",10,Fish nes,both,2997,Fish nes,1997,Fish nes,1
30520,"Livers and roes, dried, smoked, salted or in brine",10,Fish nes,both,2997,Fish nes,1997,Fish nes,2
30530,"Fish fillets, dried, salted or in brine, not smoked",10,Fish nes,baci,2997,Fish nes,1997,Fish nes,3.35
30531,"Tilapia, catfish, carp, eel, Nile perch and snakeheads, fillets, dried/salted/brine, not smoked",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,3.35
30532,"Hakes, fillets, dried, salted or in brine",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,3.35
30539,"Miscellaneous coastal fish nei, fillets, dried, salted or in brine",10,Fish nes,proc,2997,Fish nes,1997,Fish nes,3.35
30541,"Salmon, smoked, including fillets",2,Diadromous fishes,both,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.1
30542,"Herrings, smoked, including fillets",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.81
30543,"Trouts and chars, smoked",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.49
30544,"Eels, smoked",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,2.49
30549,Smoked fish & fillets other than herrings or salmon,10,Fish nes,both,2997,Fish nes,1997,Fish nes,2.49
30551,"Cod dried, whether or not salted but not smoked",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,4.61
30552,"River eels, dried, whether or not salted, not smoked, nei",2,Diadromous fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,3.34
30553,"Gadiformes nei, dried, unsalted",3,Marine fishes,proc,2762,Demersal Fish,1514,Demersal Marine Fish,3.34
30554,"Herrings, dried, unsalted",3,Marine fishes,proc,2763,Pelagic Fish,1527,Pelagic Marine Fish,3.34
30559,"Dried fish, other than cod, not smoked",10,Fish nes,both,2997,Fish nes,1997,Fish nes,3.34
30561,"Herrings, salted or in brine, not dried or smoked",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.46
30562,"Cod, salted or in brine, not dried or smoked",3,Marine fishes,both,2762,Demersal Fish,1514,Demersal Marine Fish,1.92
30563,"Anchovies, salted or in brine, not dried or smoked",3,Marine fishes,both,2763,Pelagic Fish,1527,Pelagic Marine Fish,1.33
30564,"Tilapias, catfish, carp, eels, Nile perch and snakeheads, salted or in brine",1,Freshwater fishes,proc,2761,Freshwater Fish,1501,Freshwater and Diadromous Fish,1.65
30569,"Fish nes, salted or in brine, not dried or smoked",10,Fish nes,both,2997,Fish nes,1997,Fish nes,1.65
30571,"Shark fins, dried, unsalted",3,Marine fishes,proc,2764,"Marine Fish, Other",1540,Marine Fish NEI,20
30572,"Fish heads, tail, maws etc., smoked, dried, salted, or in brine",10,Fish nes,proc,2997,Fish nes,1997,Fish nes,2
