species,species_name,isscaap_division_code,isscaap_division_name,isscaap_group_code,isscaap_group_name,fao_group_code,fao_group_name,cpc_division_code,cpc_division_name,cpc_group_code,cpc_group_name,cpc_class_code,cpc_class_name
TLN,Nile tilapia,1,Freshwater fishes,12,Tilapias and other cichlids,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
NBZ,Nimble spray crab,4,Crustaceans,42,"Crabs, sea-spiders",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",431,"Crabs, live, fresh or chilled"
LOC,Ningu,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
RKQ,Noah's ark,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
AAS,Noble crayfish,4,Crustaceans,41,Freshwater crustaceans,1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",439,"Other crustaceans, live, fresh or chilled"
FYS,Nori NEI,9,Aquatic plants,92,Red seaweeds,1594,Aquatic Plants,4,Fish and other fishing products,49,Other aquatic plants and animals,493,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
CLZ,North African catfish,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
LPS,North Atlantic codling,3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
ASN,North Atlantic rockweed,9,Aquatic plants,91,Brown seaweeds,1594,Aquatic Plants,4,Fish and other fishing products,49,Other aquatic plants and animals,493,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
PBV,Northern bastard codling,3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
BOW,Northern bottlenose whale,6,"Whales, seals and other aquatic mammals",62,"Sperm-whales, pilot-whales",1579,Aquatic Mammals,,,,,,
ABS,Northern brown shrimp,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",436,"Other shrimps and prawns, live, fresh or chilled"
CDZ,Northern cods NEI,3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
SEN,Northern fur seal,6,"Whales, seals and other aquatic mammals",63,"Eared seals, hair seals, walruses",1579,Aquatic Mammals,,,,,,
KGF,Northern kingfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
HUV,Northern nylon shrimp,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",435,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled"
FPI,Northern pike,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
APS,Northern pink shrimp,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",436,"Other shrimps and prawns, live, fresh or chilled"
PRA,Northern prawn,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",435,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled"
PUF,Northern puffer,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
CLH,Northern quahog(=Hard clam),5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
SNR,Northern red snapper,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
EUG,Northern right whale,6,"Whales, seals and other aquatic mammals",61,"Blue-whales, fin-whales",1579,Aquatic Mammals,,,,,,
RNW,Northern right whale dolphin,6,"Whales, seals and other aquatic mammals",62,"Sperm-whales, pilot-whales",1579,Aquatic Mammals,,,,,,
PFF,Northern sand flathead,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
PQC,Northern searobin,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
SQI,Northern shortfin squid,5,Molluscs,57,"Squids, cuttlefishes, octopuses",1570,Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",446,"Cuttlefish and squid, live, fresh or chilled"
UAG,Northern stargazer,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
NMU,Northern velvet shrimp,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",436,"Other shrimps and prawns, live, fresh or chilled"
PST,Northern white shrimp,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",436,"Other shrimps and prawns, live, fresh or chilled"
CAB,Northern wolffish,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
LAH,North European kelp,9,Aquatic plants,91,Brown seaweeds,1594,Aquatic Plants,4,Fish and other fishing products,49,Other aquatic plants and animals,493,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
NHA,North Pacific hake,3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
NEP,Norway lobster,4,Crustaceans,43,"Lobsters, spiny-rock lobsters",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",434,"Norway lobsters, live, fresh or chilled"
NOP,Norway pout,3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
SFV,Norway redfish,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
LVC,Norwegian egg cockle,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
NKR,Norwegian krill,4,Crustaceans,46,"Krill, planktonic crustaceans",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",439,"Other crustaceans, live, fresh or chilled"
JAD,Norwegian skate,3,Marine fishes,38,"Sharks, rays, chimaeras",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
NNY,[Nototheniops nybelini],3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
SYT,Nursehound,3,Marine fishes,38,"Sharks, rays, chimaeras",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
GNC,Nurse shark,3,Marine fishes,38,"Sharks, rays, chimaeras",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
BZC,Nurse tetra,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
HZK,Nylon shrimps NEI,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",435,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled"
LWZ,Oblique-banded snapper,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
UTM,Oblong otter shell,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
TZO,Obscure pufferfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
YRB,Obtuse barracuda,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
CJF,Oceanian crayfishes NEI,4,Crustaceans,41,Freshwater crustaceans,1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",439,"Other crustaceans, live, fresh or chilled"
LGH,Oceanic puffer,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
OCS,Oceanic whitetip shark,3,Marine fishes,38,"Sharks, rays, chimaeras",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
OPT,Ocean pout,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
CLQ,Ocean quahog,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
PJK,Ocean shrimp,4,Crustaceans,45,"Shrimps, prawns",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",435,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled"
MOX,Ocean sunfish,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
CZT,Ocean triggerfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ULP,Ocean whitefish,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
KIF,Ocellated icefish,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
DHZ,Ocellated wedge sole,3,Marine fishes,31,"Flounders, halibuts, soles",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",423,"Flatfish, live, fresh or chilled"
OCT,"Octopuses, etc. NEI",5,Molluscs,57,"Squids, cuttlefishes, octopuses",1570,Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",447,"Octopus, live, fresh or chilled"
OCZ,Octopuses NEI,5,Molluscs,57,"Squids, cuttlefishes, octopuses",1570,Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",447,"Octopus, live, fresh or chilled"
QIX,[Ocypode spp],4,Crustaceans,42,"Crabs, sea-spiders",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",431,"Crabs, live, fresh or chilled"
OWM,[Odontesthes smitti],3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
POI,Offshore rockfish,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
HOF,Offshore silver hake,3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
QFP,Ohrid trout,2,Diadromous fishes,23,"Salmons, trouts, smelts",1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",422,"Salmonidae, live, fresh or chilled"
OIL,Oilfish,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ATK,Okhotsk atka mackerel,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
PUS,Olive barb,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
KTG,Olive green cockle,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
EPF,Olive grouper,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
SED,Olive rockfish,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
OYH,Olympia oyster,5,Molluscs,53,Oysters,1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",442,"Oysters, live, fresh or chilled"
OMZ,Ommastrephidae squids NEI,5,Molluscs,57,"Squids, cuttlefishes, octopuses",1570,Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",446,"Cuttlefish and squid, live, fresh or chilled"
LAG,Opah,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
LAP,Opahs NEI,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
SQO,Opalescent inshore squid,5,Molluscs,57,"Squids, cuttlefishes, octopuses",1570,Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",446,"Cuttlefish and squid, live, fresh or chilled"
OFT,[Ophioblennius atlanticus],3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
OZL,[Ophioderma brevispinum],7,Miscellaneous aquatic animals,76,Sea-urchins and other echinoderms,1587,Aquatic Animals NEI,4,Fish and other fishing products,45,"Other aquatic invertebrates, live, fresh or chilled",459,"Other aquatic invertebrates, live, fresh or chilled, n.e.c."
OLF,[Oplegnathus fasciatus],3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
OFE,Orangeback flying squid,5,Molluscs,57,"Squids, cuttlefishes, octopuses",1570,Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",446,"Cuttlefish and squid, live, fresh or chilled"
LCB,Orangefin labeo,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
YYP,Orange goatfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
YLW,Orange mud crab,4,Crustaceans,42,"Crabs, sea-spiders",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",431,"Crabs, live, fresh or chilled"
LDP,Orange perch,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ORY,Orange roughy,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
NAI,Orangespine unicornfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
AQV,Orangespot surgeonfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ENI,Orange-spotted grouper,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
NGJ,Orangespotted trevally,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
LWO,Orange-striped emperor,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
LXR,Orbicular batfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
WIY,Ordway's brotula,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
OIT,[Oreochromis tanganicae],1,Freshwater fishes,12,Tilapias and other cichlids,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
ORD,Oreo dories NEI,3,Marine fishes,34,Miscellaneous demersal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
FID,Orfe(=Ide),1,Freshwater fishes,11,"Carps, barbels and other cyprinids",1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
KNJ,Oriental cyclina,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
MNX,Oriental river prawn,4,Crustaceans,41,Freshwater crustaceans,1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",436,"Other shrimps and prawns, live, fresh or chilled"
WLL,Oriental sole,3,Marine fishes,31,"Flounders, halibuts, soles",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",423,"Flatfish, live, fresh or chilled"
NUR,Ornate spiny lobster,4,Crustaceans,43,"Lobsters, spiny-rock lobsters",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",432,"Rock lobster and other sea crawfish, live, fresh or chilled"
TMP,Ornate wrasse,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
TOC,Oscar,1,Freshwater fishes,12,Tilapias and other cichlids,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
LRO,Oxeye scad,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
OXK,[Oxydoras kneri],1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
VEP,Pacific anchoveta,3,Marine fishes,35,"Herrings, sardines, anchovies",1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
SUC,Pacific angelshark,3,Marine fishes,38,"Sharks, rays, chimaeras",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
FSV,Pacific asaphis,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
YRG,Pacific barracuda,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
PBF,Pacific bluefin tuna,3,Marine fishes,36,"Tunas, bonitos, billfishes",1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",425,"Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
HSO,Pacific bumper,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
SCH,Pacific calico scallop,5,Molluscs,55,"Scallops, pectens",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",444,"Scallops, live, fresh or chilled"
MAS,Pacific chub mackerel,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
PCO,Pacific cod,3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
FUC,Pacific cornetfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
FNI,Pacific creole-fish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
NXN,Pacific crevalle jack,3,Marine fishes,37,Miscellaneous pelagic fishes,1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
OYG,Pacific cupped oyster,5,Molluscs,53,Oysters,1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",442,"Oysters, live, fresh or chilled"
LJW,Pacific dog snapper,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
LSI,Pacific drum,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
DOM,Pacific fat sleeper,1,Freshwater fishes,13,Miscellaneous freshwater fishes,1501,Freshwater and Diadromous Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",421,"Freshwater fish, live, fresh or chilled"
UUZ,Pacific flagfin mojarra,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
HCT,Pacific flatiron herring,3,Marine fishes,35,"Herrings, sardines, anchovies",1527,Pelagic Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",426,"Other pelagic fish, live, fresh or chilled"
GEC,Pacific geoduck,5,Molluscs,56,"Clams, cockles, arkshells",1562,Molluscs excl. Cephalopods,4,Fish and other fishing products,44,"Molluscs live, fresh or chilled",445,"Clams, cockles and ark shells, live, fresh or chilled"
HBJ,Pacific golden crab,4,Crustaceans,42,"Crabs, sea-spiders",1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",431,"Crabs, live, fresh or chilled"
EZQ,Pacific goliath grouper,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
ZPE,Pacific goose barnacle,4,Crustaceans,47,Miscellaneous marine crustaceans,1553,Crustaceans,4,Fish and other fishing products,43,"Crustaceans, live, fresh or chilled",439,"Other crustaceans, live, fresh or chilled"
CKE,Pacific grenadier,3,Marine fishes,32,"Cods, hakes, haddocks",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",424,"Fish of Gadiformes, live, fresh or chilled"
GUF,Pacific guitarfish,3,Marine fishes,38,"Sharks, rays, chimaeras",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
MYU,Pacific hagfish,3,Marine fishes,33,Miscellaneous coastal fishes,1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",429,"Other fish, live, fresh or chilled"
HAP,Pacific halibut,3,Marine fishes,31,"Flounders, halibuts, soles",1514,Demersal Marine Fish,4,Fish and other fishing products,42,"Fish live, fresh or chilled for human consumption",423,"Flatfish, live, fresh or chilled"
