area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Bolivia (Plurinational State of),BOL,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Bolivia (Plurinational State of),BOL,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Botswana,BWA,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Botswana,BWA,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Botswana,BWA,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Botswana,BWA,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.1012
Botswana,BWA,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Botswana,BWA,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Brazil,BRA,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Brazil,BRA,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.69
Brazil,BRA,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.07
Brazil,BRA,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.08648
Brazil,BRA,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Brazil,BRA,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Aruba,ABW,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Aruba,ABW,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Aruba,ABW,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Aruba,ABW,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Aruba,ABW,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Aruba,ABW,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Belize,BLZ,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Belize,BLZ,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Belize,BLZ,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
