area_code,inp_code,inp,out_code,out,value
4,2617,Apples and products,2657,"Beverages, Fermented",0.594791667
4,2617,Apples and products,2658,"Beverages, Alcoholic",0.468188889
4,2617,Apples and products,2659,"Alcohol, Non-Food",0.19934
4,2619,Dates,2658,"Beverages, Alcoholic",0.468188889
4,2620,Grapes and products (excl wine),2657,"Beverages, Fermented",0.758888889
4,2620,Grapes and products (excl wine),2658,"Beverages, Alcoholic",0.468188889
4,2620,Grapes and products (excl wine),2659,"Alcohol, Non-Food",0.19934
4,2625,"Fruits, Other",2657,"Beverages, Fermented",0.594791667
4,2625,"Fruits, Other",2658,"Beverages, Alcoholic",0.468188889
4,2625,"Fruits, Other",2659,"Alcohol, Non-Food",0.19934
4,2655,Wine,2658,"Beverages, Alcoholic",0.468188889
4,2655,Wine,2659,"Alcohol, Non-Food",0.19934
4,2804,Rice (Paddy Equivalent),2543,"Sweeteners, Other",1.03455
4,2804,Rice (Paddy Equivalent),2656,Beer,2.7775
4,2804,Rice (Paddy Equivalent),2657,"Beverages, Fermented",2.7775
4,2804,Rice (Paddy Equivalent),2658,"Beverages, Alcoholic",0.71775
4,2804,Rice (Paddy Equivalent),2659,"Alcohol, Non-Food",0.297
4,2818,"Sugar, Refined Equiv",2658,"Beverages, Alcoholic",1.5
5,2511,Wheat and products,2543,"Sweeteners, Other",1.078
5,2511,Wheat and products,2656,Beer,4.455
5,2511,Wheat and products,2657,"Beverages, Fermented",4.455
5,2511,Wheat and products,2658,"Beverages, Alcoholic",0.68
5,2511,Wheat and products,2659,"Alcohol, Non-Food",0.28
5,2513,Barley and products,2543,"Sweeteners, Other",0.803
5,2513,Barley and products,2656,Beer,4.7815
5,2513,Barley and products,2658,"Beverages, Alcoholic",0.5037
5,2513,Barley and products,2659,"Alcohol, Non-Food",0.2044
5,2514,Maize and products,2543,"Sweeteners, Other",0.8415
5,2514,Maize and products,2656,Beer,5.5
5,2514,Maize and products,2657,"Beverages, Fermented",5.5
5,2514,Maize and products,2658,"Beverages, Alcoholic",0.65
5,2514,Maize and products,2659,"Alcohol, Non-Food",0.35
5,2515,Rye and products,2656,Beer,4.8173
5,2515,Rye and products,2657,"Beverages, Fermented",4.8173
5,2515,Rye and products,2658,"Beverages, Alcoholic",0.645
5,2515,Rye and products,2659,"Alcohol, Non-Food",0.27
