proc_code,proc,comm_code,item_code,item,type
p096,Rabbits husbandry,c005,2515,Rye and products,feed
p096,Rabbits husbandry,c006,2516,Oats,feed
p096,Rabbits husbandry,c007,2517,Millet and products,feed
p096,Rabbits husbandry,c008,2518,Sorghum and products,feed
p096,Rabbits husbandry,c009,2520,"Cereals, Other",feed
p096,Rabbits husbandry,c010,2531,Potatoes and products,feed
p096,Rabbits husbandry,c011,2532,Cassava and products,feed
p096,Rabbits husbandry,c012,2533,Sweet potatoes,feed
p096,Rabbits husbandry,c013,2534,"Roots, Other",feed
p096,Rabbits husbandry,c014,2535,Yams,feed
p096,Rabbits husbandry,c015,2536,Sugar cane,feed
p096,Rabbits husbandry,c016,2537,Sugar beet,feed
p096,Rabbits husbandry,c017,2546,Beans,feed
p096,Rabbits husbandry,c018,2547,Peas,feed
p096,Rabbits husbandry,c019,2549,"Pulses, Other and products",feed
p096,Rabbits husbandry,c021,2555,Soyabeans,feed
p096,Rabbits husbandry,c022,2552,Groundnuts,feed
p096,Rabbits husbandry,c023,2557,Sunflower seed,feed
p096,Rabbits husbandry,c024,2558,Rape and Mustardseed,feed
p096,Rabbits husbandry,c026,2560,Coconuts - Incl Copra,feed
p096,Rabbits husbandry,c027,2561,Sesame seed,feed
p096,Rabbits husbandry,c030,2570,"Oilcrops, Other",feed
p096,Rabbits husbandry,c031,2601,Tomatoes and products,feed
p096,Rabbits husbandry,c032,2602,Onions,feed
p096,Rabbits husbandry,c033,2605,"Vegetables, Other",feed
p096,Rabbits husbandry,c034,2611,"Oranges, Mandarines",feed
p096,Rabbits husbandry,c038,2615,Bananas,feed
p096,Rabbits husbandry,c039,2616,Plantains,feed
p096,Rabbits husbandry,c040,2617,Apples and products,feed
p096,Rabbits husbandry,c042,2619,Dates,feed
p096,Rabbits husbandry,c044,2625,"Fruits, Other",feed
p096,Rabbits husbandry,c046,2633,Cocoa Beans and products,feed
p096,Rabbits husbandry,c051,2642,Cloves,feed
p096,Rabbits husbandry,c063,2559,Cottonseed,feed
p096,Rabbits husbandry,c065,2541,Sugar non-centrifugal,feed
p096,Rabbits husbandry,c066,2542,Sugar (Raw Equivalent),feed
p096,Rabbits husbandry,c067,2543,"Sweeteners, Other",feed
p096,Rabbits husbandry,c068,2571,Soyabean Oil,feed
p096,Rabbits husbandry,c071,2574,Rape and Mustard Oil,feed
p096,Rabbits husbandry,c074,2577,Palm Oil,feed
p096,Rabbits husbandry,c076,2579,Sesameseed Oil,feed
p096,Rabbits husbandry,c077,2580,Olive Oil,feed
p096,Rabbits husbandry,c080,2586,"Oilcrops Oil, Other",feed
p096,Rabbits husbandry,c081,2590,Soyabean Cake,feed
p096,Rabbits husbandry,c082,2591,Groundnut Cake,feed
p096,Rabbits husbandry,c083,2592,Sunflowerseed Cake,feed
p096,Rabbits husbandry,c084,2593,Rape and Mustard Cake,feed
p096,Rabbits husbandry,c085,2594,Cottonseed Cake,feed
p096,Rabbits husbandry,c086,2595,Palmkernel Cake,feed
p096,Rabbits husbandry,c087,2596,Copra Cake,feed
p096,Rabbits husbandry,c088,2597,Sesameseed Cake,feed
p096,Rabbits husbandry,c089,2598,"Oilseed Cakes, Other",feed
p096,Rabbits husbandry,c107,1140,Rabbits and hares,seedwaste
p096,Rabbits husbandry,c109,2848,Milk - Excluding Butter,feed
p096,Rabbits husbandry,c110,2740,"Butter, Ghee",feed
p096,Rabbits husbandry,c111,2744,Eggs,feed
p096,Rabbits husbandry,c113,2731,Bovine Meat,feed
p096,Rabbits husbandry,c114,2732,Mutton & Goat Meat,feed
p096,Rabbits husbandry,c117,2735,"Meat, Other",feed
p096,Rabbits husbandry,c118,2736,"Offals, Edible",feed
p096,Rabbits husbandry,c119,2737,"Fats, Animals, Raw",feed
p096,Rabbits husbandry,c121,2745,Honey,feed
p097,"Rodents husbandry, other",c001,2807,Rice and products,feed
p097,"Rodents husbandry, other",c002,2511,Wheat and products,feed
p097,"Rodents husbandry, other",c003,2513,Barley and products,feed
p097,"Rodents husbandry, other",c004,2514,Maize and products,feed
p097,"Rodents husbandry, other",c005,2515,Rye and products,feed
p097,"Rodents husbandry, other",c006,2516,Oats,feed
p097,"Rodents husbandry, other",c007,2517,Millet and products,feed
p097,"Rodents husbandry, other",c008,2518,Sorghum and products,feed
p097,"Rodents husbandry, other",c009,2520,"Cereals, Other",feed
p097,"Rodents husbandry, other",c010,2531,Potatoes and products,feed
p097,"Rodents husbandry, other",c011,2532,Cassava and products,feed
p097,"Rodents husbandry, other",c012,2533,Sweet potatoes,feed
p097,"Rodents husbandry, other",c013,2534,"Roots, Other",feed
p097,"Rodents husbandry, other",c014,2535,Yams,feed
p097,"Rodents husbandry, other",c015,2536,Sugar cane,feed
p097,"Rodents husbandry, other",c016,2537,Sugar beet,feed
p097,"Rodents husbandry, other",c017,2546,Beans,feed
p097,"Rodents husbandry, other",c018,2547,Peas,feed
p097,"Rodents husbandry, other",c019,2549,"Pulses, Other and products",feed
p097,"Rodents husbandry, other",c021,2555,Soyabeans,feed
p097,"Rodents husbandry, other",c022,2552,Groundnuts,feed
p097,"Rodents husbandry, other",c023,2557,Sunflower seed,feed
p097,"Rodents husbandry, other",c024,2558,Rape and Mustardseed,feed
p097,"Rodents husbandry, other",c026,2560,Coconuts - Incl Copra,feed
p097,"Rodents husbandry, other",c027,2561,Sesame seed,feed
p097,"Rodents husbandry, other",c030,2570,"Oilcrops, Other",feed
p097,"Rodents husbandry, other",c031,2601,Tomatoes and products,feed
p097,"Rodents husbandry, other",c032,2602,Onions,feed
p097,"Rodents husbandry, other",c033,2605,"Vegetables, Other",feed
p097,"Rodents husbandry, other",c034,2611,"Oranges, Mandarines",feed
p097,"Rodents husbandry, other",c038,2615,Bananas,feed
p097,"Rodents husbandry, other",c039,2616,Plantains,feed
p097,"Rodents husbandry, other",c040,2617,Apples and products,feed
p097,"Rodents husbandry, other",c042,2619,Dates,feed
p097,"Rodents husbandry, other",c044,2625,"Fruits, Other",feed
p097,"Rodents husbandry, other",c046,2633,Cocoa Beans and products,feed
p097,"Rodents husbandry, other",c051,2642,Cloves,feed
p097,"Rodents husbandry, other",c063,2559,Cottonseed,feed
p097,"Rodents husbandry, other",c065,2541,Sugar non-centrifugal,feed
p097,"Rodents husbandry, other",c066,2542,Sugar (Raw Equivalent),feed
p097,"Rodents husbandry, other",c067,2543,"Sweeteners, Other",feed
p097,"Rodents husbandry, other",c068,2571,Soyabean Oil,feed
p097,"Rodents husbandry, other",c071,2574,Rape and Mustard Oil,feed
p097,"Rodents husbandry, other",c074,2577,Palm Oil,feed
p097,"Rodents husbandry, other",c076,2579,Sesameseed Oil,feed
p097,"Rodents husbandry, other",c077,2580,Olive Oil,feed
p097,"Rodents husbandry, other",c080,2586,"Oilcrops Oil, Other",feed
p097,"Rodents husbandry, other",c081,2590,Soyabean Cake,feed
p097,"Rodents husbandry, other",c082,2591,Groundnut Cake,feed
p097,"Rodents husbandry, other",c083,2592,Sunflowerseed Cake,feed
p097,"Rodents husbandry, other",c084,2593,Rape and Mustard Cake,feed
p097,"Rodents husbandry, other",c085,2594,Cottonseed Cake,feed
p097,"Rodents husbandry, other",c086,2595,Palmkernel Cake,feed
p097,"Rodents husbandry, other",c087,2596,Copra Cake,feed
p097,"Rodents husbandry, other",c088,2597,Sesameseed Cake,feed
p097,"Rodents husbandry, other",c089,2598,"Oilseed Cakes, Other",feed
p097,"Rodents husbandry, other",c108,1150,"Rodents, other",seedwaste
p097,"Rodents husbandry, other",c109,2848,Milk - Excluding Butter,feed
p097,"Rodents husbandry, other",c110,2740,"Butter, Ghee",feed
p097,"Rodents husbandry, other",c111,2744,Eggs,feed
p097,"Rodents husbandry, other",c113,2731,Bovine Meat,feed
p097,"Rodents husbandry, other",c114,2732,Mutton & Goat Meat,feed
p097,"Rodents husbandry, other",c117,2735,"Meat, Other",feed
p097,"Rodents husbandry, other",c118,2736,"Offals, Edible",feed
p097,"Rodents husbandry, other",c119,2737,"Fats, Animals, Raw",feed
p097,"Rodents husbandry, other",c121,2745,Honey,feed
p099,Dairy cattle husbandry,c001,2807,Rice and products,feed
p099,Dairy cattle husbandry,c002,2511,Wheat and products,feed
p099,Dairy cattle husbandry,c003,2513,Barley and products,feed
p099,Dairy cattle husbandry,c004,2514,Maize and products,feed
p099,Dairy cattle husbandry,c005,2515,Rye and products,feed
p099,Dairy cattle husbandry,c006,2516,Oats,feed
p099,Dairy cattle husbandry,c007,2517,Millet and products,feed
p099,Dairy cattle husbandry,c008,2518,Sorghum and products,feed
p099,Dairy cattle husbandry,c009,2520,"Cereals, Other",feed
p099,Dairy cattle husbandry,c010,2531,Potatoes and products,feed
p099,Dairy cattle husbandry,c011,2532,Cassava and products,feed
p099,Dairy cattle husbandry,c012,2533,Sweet potatoes,feed
p099,Dairy cattle husbandry,c013,2534,"Roots, Other",feed
p099,Dairy cattle husbandry,c014,2535,Yams,feed
p099,Dairy cattle husbandry,c015,2536,Sugar cane,feed
p099,Dairy cattle husbandry,c016,2537,Sugar beet,feed
p099,Dairy cattle husbandry,c017,2546,Beans,feed
p099,Dairy cattle husbandry,c018,2547,Peas,feed
p099,Dairy cattle husbandry,c019,2549,"Pulses, Other and products",feed
p099,Dairy cattle husbandry,c021,2555,Soyabeans,feed
p099,Dairy cattle husbandry,c022,2552,Groundnuts,feed
p099,Dairy cattle husbandry,c023,2557,Sunflower seed,feed
p099,Dairy cattle husbandry,c024,2558,Rape and Mustardseed,feed
p099,Dairy cattle husbandry,c026,2560,Coconuts - Incl Copra,feed
p099,Dairy cattle husbandry,c027,2561,Sesame seed,feed
p099,Dairy cattle husbandry,c030,2570,"Oilcrops, Other",feed
p099,Dairy cattle husbandry,c031,2601,Tomatoes and products,feed
p099,Dairy cattle husbandry,c032,2602,Onions,feed
p099,Dairy cattle husbandry,c033,2605,"Vegetables, Other",feed
p099,Dairy cattle husbandry,c034,2611,"Oranges, Mandarines",feed
p099,Dairy cattle husbandry,c038,2615,Bananas,feed
p099,Dairy cattle husbandry,c039,2616,Plantains,feed
p099,Dairy cattle husbandry,c040,2617,Apples and products,feed
p099,Dairy cattle husbandry,c042,2619,Dates,feed
p099,Dairy cattle husbandry,c044,2625,"Fruits, Other",feed
p099,Dairy cattle husbandry,c046,2633,Cocoa Beans and products,feed
p099,Dairy cattle husbandry,c051,2642,Cloves,feed
p099,Dairy cattle husbandry,c061,2000,Fodder crops,feed
p099,Dairy cattle husbandry,c062,2001,Grazing,feed
p099,Dairy cattle husbandry,c063,2559,Cottonseed,feed
p099,Dairy cattle husbandry,c065,2541,Sugar non-centrifugal,feed
p099,Dairy cattle husbandry,c066,2542,Sugar (Raw Equivalent),feed
p099,Dairy cattle husbandry,c067,2543,"Sweeteners, Other",feed
p099,Dairy cattle husbandry,c068,2571,Soyabean Oil,feed
p099,Dairy cattle husbandry,c071,2574,Rape and Mustard Oil,feed
p099,Dairy cattle husbandry,c074,2577,Palm Oil,feed
p099,Dairy cattle husbandry,c076,2579,Sesameseed Oil,feed
p099,Dairy cattle husbandry,c077,2580,Olive Oil,feed
p099,Dairy cattle husbandry,c080,2586,"Oilcrops Oil, Other",feed
p099,Dairy cattle husbandry,c081,2590,Soyabean Cake,feed
p099,Dairy cattle husbandry,c082,2591,Groundnut Cake,feed
p099,Dairy cattle husbandry,c083,2592,Sunflowerseed Cake,feed
p099,Dairy cattle husbandry,c084,2593,Rape and Mustard Cake,feed
p099,Dairy cattle husbandry,c085,2594,Cottonseed Cake,feed
p099,Dairy cattle husbandry,c086,2595,Palmkernel Cake,feed
p099,Dairy cattle husbandry,c087,2596,Copra Cake,feed
p099,Dairy cattle husbandry,c088,2597,Sesameseed Cake,feed
p099,Dairy cattle husbandry,c089,2598,"Oilseed Cakes, Other",feed
p099,Dairy cattle husbandry,c109,2848,Milk - Excluding Butter,seedwaste
p099,Dairy cattle husbandry,c109,2848,Milk - Excluding Butter,feed
p099,Dairy cattle husbandry,c110,2740,"Butter, Ghee",feed
p099,Dairy cattle husbandry,c111,2744,Eggs,feed
p099,Dairy cattle husbandry,c113,2731,Bovine Meat,feed
p099,Dairy cattle husbandry,c114,2732,Mutton & Goat Meat,feed
p099,Dairy cattle husbandry,c117,2735,"Meat, Other",feed
p099,Dairy cattle husbandry,c118,2736,"Offals, Edible",feed
p099,Dairy cattle husbandry,c119,2737,"Fats, Animals, Raw",feed
p099,Dairy cattle husbandry,c121,2745,Honey,feed
p100,Dairy buffaloes husbandry,c001,2807,Rice and products,feed
p100,Dairy buffaloes husbandry,c002,2511,Wheat and products,feed
p100,Dairy buffaloes husbandry,c003,2513,Barley and products,feed
p100,Dairy buffaloes husbandry,c004,2514,Maize and products,feed
p100,Dairy buffaloes husbandry,c005,2515,Rye and products,feed
p100,Dairy buffaloes husbandry,c006,2516,Oats,feed
p100,Dairy buffaloes husbandry,c007,2517,Millet and products,feed
p100,Dairy buffaloes husbandry,c008,2518,Sorghum and products,feed
p100,Dairy buffaloes husbandry,c009,2520,"Cereals, Other",feed
p100,Dairy buffaloes husbandry,c010,2531,Potatoes and products,feed
p100,Dairy buffaloes husbandry,c011,2532,Cassava and products,feed
p100,Dairy buffaloes husbandry,c012,2533,Sweet potatoes,feed
p100,Dairy buffaloes husbandry,c013,2534,"Roots, Other",feed
p100,Dairy buffaloes husbandry,c014,2535,Yams,feed
p100,Dairy buffaloes husbandry,c015,2536,Sugar cane,feed
p100,Dairy buffaloes husbandry,c016,2537,Sugar beet,feed
p100,Dairy buffaloes husbandry,c017,2546,Beans,feed
p100,Dairy buffaloes husbandry,c018,2547,Peas,feed
p100,Dairy buffaloes husbandry,c019,2549,"Pulses, Other and products",feed
p100,Dairy buffaloes husbandry,c021,2555,Soyabeans,feed
p100,Dairy buffaloes husbandry,c022,2552,Groundnuts,feed
p100,Dairy buffaloes husbandry,c023,2557,Sunflower seed,feed
p100,Dairy buffaloes husbandry,c024,2558,Rape and Mustardseed,feed
p100,Dairy buffaloes husbandry,c026,2560,Coconuts - Incl Copra,feed
p100,Dairy buffaloes husbandry,c027,2561,Sesame seed,feed
p100,Dairy buffaloes husbandry,c030,2570,"Oilcrops, Other",feed
p100,Dairy buffaloes husbandry,c031,2601,Tomatoes and products,feed
p100,Dairy buffaloes husbandry,c032,2602,Onions,feed
p100,Dairy buffaloes husbandry,c033,2605,"Vegetables, Other",feed
p100,Dairy buffaloes husbandry,c034,2611,"Oranges, Mandarines",feed
p100,Dairy buffaloes husbandry,c038,2615,Bananas,feed
p100,Dairy buffaloes husbandry,c039,2616,Plantains,feed
p100,Dairy buffaloes husbandry,c040,2617,Apples and products,feed
p100,Dairy buffaloes husbandry,c042,2619,Dates,feed
p100,Dairy buffaloes husbandry,c044,2625,"Fruits, Other",feed
p100,Dairy buffaloes husbandry,c046,2633,Cocoa Beans and products,feed
p100,Dairy buffaloes husbandry,c051,2642,Cloves,feed
p100,Dairy buffaloes husbandry,c061,2000,Fodder crops,feed
p100,Dairy buffaloes husbandry,c062,2001,Grazing,feed
p100,Dairy buffaloes husbandry,c063,2559,Cottonseed,feed
p100,Dairy buffaloes husbandry,c065,2541,Sugar non-centrifugal,feed
p100,Dairy buffaloes husbandry,c066,2542,Sugar (Raw Equivalent),feed
p100,Dairy buffaloes husbandry,c067,2543,"Sweeteners, Other",feed
p100,Dairy buffaloes husbandry,c068,2571,Soyabean Oil,feed
p100,Dairy buffaloes husbandry,c071,2574,Rape and Mustard Oil,feed
p100,Dairy buffaloes husbandry,c074,2577,Palm Oil,feed
p100,Dairy buffaloes husbandry,c076,2579,Sesameseed Oil,feed
p100,Dairy buffaloes husbandry,c077,2580,Olive Oil,feed
p100,Dairy buffaloes husbandry,c080,2586,"Oilcrops Oil, Other",feed
p100,Dairy buffaloes husbandry,c081,2590,Soyabean Cake,feed
p100,Dairy buffaloes husbandry,c082,2591,Groundnut Cake,feed
p100,Dairy buffaloes husbandry,c083,2592,Sunflowerseed Cake,feed
p100,Dairy buffaloes husbandry,c084,2593,Rape and Mustard Cake,feed
p100,Dairy buffaloes husbandry,c085,2594,Cottonseed Cake,feed
p100,Dairy buffaloes husbandry,c086,2595,Palmkernel Cake,feed
p100,Dairy buffaloes husbandry,c087,2596,Copra Cake,feed
p100,Dairy buffaloes husbandry,c088,2597,Sesameseed Cake,feed
p100,Dairy buffaloes husbandry,c089,2598,"Oilseed Cakes, Other",feed
p100,Dairy buffaloes husbandry,c109,2848,Milk - Excluding Butter,seedwaste
p100,Dairy buffaloes husbandry,c109,2848,Milk - Excluding Butter,feed
p100,Dairy buffaloes husbandry,c110,2740,"Butter, Ghee",feed
p100,Dairy buffaloes husbandry,c111,2744,Eggs,feed
p100,Dairy buffaloes husbandry,c113,2731,Bovine Meat,feed
p100,Dairy buffaloes husbandry,c114,2732,Mutton & Goat Meat,feed
p100,Dairy buffaloes husbandry,c117,2735,"Meat, Other",feed
p100,Dairy buffaloes husbandry,c118,2736,"Offals, Edible",feed
p100,Dairy buffaloes husbandry,c119,2737,"Fats, Animals, Raw",feed
p100,Dairy buffaloes husbandry,c121,2745,Honey,feed
p101,Dairy sheep husbandry,c001,2807,Rice and products,feed
p101,Dairy sheep husbandry,c002,2511,Wheat and products,feed
p101,Dairy sheep husbandry,c003,2513,Barley and products,feed
p101,Dairy sheep husbandry,c004,2514,Maize and products,feed
p101,Dairy sheep husbandry,c005,2515,Rye and products,feed
p101,Dairy sheep husbandry,c006,2516,Oats,feed
p101,Dairy sheep husbandry,c007,2517,Millet and products,feed
p101,Dairy sheep husbandry,c008,2518,Sorghum and products,feed
p101,Dairy sheep husbandry,c009,2520,"Cereals, Other",feed
p101,Dairy sheep husbandry,c010,2531,Potatoes and products,feed
p101,Dairy sheep husbandry,c011,2532,Cassava and products,feed
p101,Dairy sheep husbandry,c012,2533,Sweet potatoes,feed
p101,Dairy sheep husbandry,c013,2534,"Roots, Other",feed
p101,Dairy sheep husbandry,c014,2535,Yams,feed
p101,Dairy sheep husbandry,c015,2536,Sugar cane,feed
p101,Dairy sheep husbandry,c016,2537,Sugar beet,feed
p101,Dairy sheep husbandry,c017,2546,Beans,feed
p101,Dairy sheep husbandry,c018,2547,Peas,feed
p101,Dairy sheep husbandry,c019,2549,"Pulses, Other and products",feed
p101,Dairy sheep husbandry,c021,2555,Soyabeans,feed
p101,Dairy sheep husbandry,c022,2552,Groundnuts,feed
p101,Dairy sheep husbandry,c023,2557,Sunflower seed,feed
p101,Dairy sheep husbandry,c024,2558,Rape and Mustardseed,feed
p101,Dairy sheep husbandry,c026,2560,Coconuts - Incl Copra,feed
p101,Dairy sheep husbandry,c027,2561,Sesame seed,feed
p101,Dairy sheep husbandry,c030,2570,"Oilcrops, Other",feed
p101,Dairy sheep husbandry,c031,2601,Tomatoes and products,feed
p101,Dairy sheep husbandry,c032,2602,Onions,feed
p101,Dairy sheep husbandry,c033,2605,"Vegetables, Other",feed
p101,Dairy sheep husbandry,c034,2611,"Oranges, Mandarines",feed
p101,Dairy sheep husbandry,c038,2615,Bananas,feed
p101,Dairy sheep husbandry,c039,2616,Plantains,feed
p101,Dairy sheep husbandry,c040,2617,Apples and products,feed
p101,Dairy sheep husbandry,c042,2619,Dates,feed
p101,Dairy sheep husbandry,c044,2625,"Fruits, Other",feed
p101,Dairy sheep husbandry,c046,2633,Cocoa Beans and products,feed
p101,Dairy sheep husbandry,c051,2642,Cloves,feed
p101,Dairy sheep husbandry,c061,2000,Fodder crops,feed
p101,Dairy sheep husbandry,c062,2001,Grazing,feed
p101,Dairy sheep husbandry,c063,2559,Cottonseed,feed
p101,Dairy sheep husbandry,c065,2541,Sugar non-centrifugal,feed
p101,Dairy sheep husbandry,c066,2542,Sugar (Raw Equivalent),feed
p101,Dairy sheep husbandry,c067,2543,"Sweeteners, Other",feed
p101,Dairy sheep husbandry,c068,2571,Soyabean Oil,feed
p101,Dairy sheep husbandry,c071,2574,Rape and Mustard Oil,feed
p101,Dairy sheep husbandry,c074,2577,Palm Oil,feed
p101,Dairy sheep husbandry,c076,2579,Sesameseed Oil,feed
p101,Dairy sheep husbandry,c077,2580,Olive Oil,feed
p101,Dairy sheep husbandry,c080,2586,"Oilcrops Oil, Other",feed
p101,Dairy sheep husbandry,c081,2590,Soyabean Cake,feed
p101,Dairy sheep husbandry,c082,2591,Groundnut Cake,feed
p101,Dairy sheep husbandry,c083,2592,Sunflowerseed Cake,feed
p101,Dairy sheep husbandry,c084,2593,Rape and Mustard Cake,feed
p101,Dairy sheep husbandry,c085,2594,Cottonseed Cake,feed
p101,Dairy sheep husbandry,c086,2595,Palmkernel Cake,feed
p101,Dairy sheep husbandry,c087,2596,Copra Cake,feed
p101,Dairy sheep husbandry,c088,2597,Sesameseed Cake,feed
p101,Dairy sheep husbandry,c089,2598,"Oilseed Cakes, Other",feed
p101,Dairy sheep husbandry,c109,2848,Milk - Excluding Butter,seedwaste
p101,Dairy sheep husbandry,c109,2848,Milk - Excluding Butter,feed
p101,Dairy sheep husbandry,c110,2740,"Butter, Ghee",feed
p101,Dairy sheep husbandry,c111,2744,Eggs,feed
p101,Dairy sheep husbandry,c113,2731,Bovine Meat,feed
p101,Dairy sheep husbandry,c114,2732,Mutton & Goat Meat,feed
p101,Dairy sheep husbandry,c117,2735,"Meat, Other",feed
p101,Dairy sheep husbandry,c118,2736,"Offals, Edible",feed
p101,Dairy sheep husbandry,c119,2737,"Fats, Animals, Raw",feed
p101,Dairy sheep husbandry,c121,2745,Honey,feed
p102,Dairy goats husbandry,c001,2807,Rice and products,feed
p102,Dairy goats husbandry,c002,2511,Wheat and products,feed
p102,Dairy goats husbandry,c003,2513,Barley and products,feed
p102,Dairy goats husbandry,c004,2514,Maize and products,feed
p102,Dairy goats husbandry,c005,2515,Rye and products,feed
p102,Dairy goats husbandry,c006,2516,Oats,feed
p102,Dairy goats husbandry,c007,2517,Millet and products,feed
p102,Dairy goats husbandry,c008,2518,Sorghum and products,feed
p102,Dairy goats husbandry,c009,2520,"Cereals, Other",feed
p102,Dairy goats husbandry,c010,2531,Potatoes and products,feed
p102,Dairy goats husbandry,c011,2532,Cassava and products,feed
p102,Dairy goats husbandry,c012,2533,Sweet potatoes,feed
p102,Dairy goats husbandry,c013,2534,"Roots, Other",feed
p102,Dairy goats husbandry,c014,2535,Yams,feed
p102,Dairy goats husbandry,c015,2536,Sugar cane,feed
p102,Dairy goats husbandry,c016,2537,Sugar beet,feed
p102,Dairy goats husbandry,c017,2546,Beans,feed
p102,Dairy goats husbandry,c018,2547,Peas,feed
p102,Dairy goats husbandry,c019,2549,"Pulses, Other and products",feed
p102,Dairy goats husbandry,c021,2555,Soyabeans,feed
p102,Dairy goats husbandry,c022,2552,Groundnuts,feed
p102,Dairy goats husbandry,c023,2557,Sunflower seed,feed
p102,Dairy goats husbandry,c024,2558,Rape and Mustardseed,feed
p102,Dairy goats husbandry,c026,2560,Coconuts - Incl Copra,feed
p102,Dairy goats husbandry,c027,2561,Sesame seed,feed
p102,Dairy goats husbandry,c030,2570,"Oilcrops, Other",feed
p102,Dairy goats husbandry,c031,2601,Tomatoes and products,feed
p102,Dairy goats husbandry,c032,2602,Onions,feed
p102,Dairy goats husbandry,c033,2605,"Vegetables, Other",feed
p102,Dairy goats husbandry,c034,2611,"Oranges, Mandarines",feed
p102,Dairy goats husbandry,c038,2615,Bananas,feed
p102,Dairy goats husbandry,c039,2616,Plantains,feed
p102,Dairy goats husbandry,c040,2617,Apples and products,feed
p102,Dairy goats husbandry,c042,2619,Dates,feed
p102,Dairy goats husbandry,c044,2625,"Fruits, Other",feed
p102,Dairy goats husbandry,c046,2633,Cocoa Beans and products,feed
p102,Dairy goats husbandry,c051,2642,Cloves,feed
p102,Dairy goats husbandry,c061,2000,Fodder crops,feed
p102,Dairy goats husbandry,c062,2001,Grazing,feed
p102,Dairy goats husbandry,c063,2559,Cottonseed,feed
p102,Dairy goats husbandry,c065,2541,Sugar non-centrifugal,feed
p102,Dairy goats husbandry,c066,2542,Sugar (Raw Equivalent),feed
p102,Dairy goats husbandry,c067,2543,"Sweeteners, Other",feed
p102,Dairy goats husbandry,c068,2571,Soyabean Oil,feed
p102,Dairy goats husbandry,c071,2574,Rape and Mustard Oil,feed
p102,Dairy goats husbandry,c074,2577,Palm Oil,feed
p102,Dairy goats husbandry,c076,2579,Sesameseed Oil,feed
p102,Dairy goats husbandry,c077,2580,Olive Oil,feed
p102,Dairy goats husbandry,c080,2586,"Oilcrops Oil, Other",feed
p102,Dairy goats husbandry,c081,2590,Soyabean Cake,feed
p102,Dairy goats husbandry,c082,2591,Groundnut Cake,feed
p102,Dairy goats husbandry,c083,2592,Sunflowerseed Cake,feed
p102,Dairy goats husbandry,c084,2593,Rape and Mustard Cake,feed
p102,Dairy goats husbandry,c085,2594,Cottonseed Cake,feed
p102,Dairy goats husbandry,c086,2595,Palmkernel Cake,feed
p102,Dairy goats husbandry,c087,2596,Copra Cake,feed
p102,Dairy goats husbandry,c088,2597,Sesameseed Cake,feed
p102,Dairy goats husbandry,c089,2598,"Oilseed Cakes, Other",feed
p102,Dairy goats husbandry,c109,2848,Milk - Excluding Butter,seedwaste
p102,Dairy goats husbandry,c109,2848,Milk - Excluding Butter,feed
p102,Dairy goats husbandry,c110,2740,"Butter, Ghee",feed
p102,Dairy goats husbandry,c111,2744,Eggs,feed
p102,Dairy goats husbandry,c113,2731,Bovine Meat,feed
p102,Dairy goats husbandry,c114,2732,Mutton & Goat Meat,feed
p102,Dairy goats husbandry,c117,2735,"Meat, Other",feed
p102,Dairy goats husbandry,c118,2736,"Offals, Edible",feed
p102,Dairy goats husbandry,c119,2737,"Fats, Animals, Raw",feed
p102,Dairy goats husbandry,c121,2745,Honey,feed
p103,Dairy camels husbandry,c001,2807,Rice and products,feed
p103,Dairy camels husbandry,c002,2511,Wheat and products,feed
p103,Dairy camels husbandry,c003,2513,Barley and products,feed
p103,Dairy camels husbandry,c004,2514,Maize and products,feed
p103,Dairy camels husbandry,c005,2515,Rye and products,feed
p103,Dairy camels husbandry,c006,2516,Oats,feed
p103,Dairy camels husbandry,c007,2517,Millet and products,feed
p103,Dairy camels husbandry,c008,2518,Sorghum and products,feed
p103,Dairy camels husbandry,c009,2520,"Cereals, Other",feed
p103,Dairy camels husbandry,c010,2531,Potatoes and products,feed
p103,Dairy camels husbandry,c011,2532,Cassava and products,feed
p103,Dairy camels husbandry,c012,2533,Sweet potatoes,feed
p103,Dairy camels husbandry,c013,2534,"Roots, Other",feed
p103,Dairy camels husbandry,c014,2535,Yams,feed
p103,Dairy camels husbandry,c015,2536,Sugar cane,feed
p103,Dairy camels husbandry,c016,2537,Sugar beet,feed
p103,Dairy camels husbandry,c017,2546,Beans,feed
p103,Dairy camels husbandry,c018,2547,Peas,feed
p103,Dairy camels husbandry,c019,2549,"Pulses, Other and products",feed
p103,Dairy camels husbandry,c021,2555,Soyabeans,feed
p103,Dairy camels husbandry,c022,2552,Groundnuts,feed
p103,Dairy camels husbandry,c023,2557,Sunflower seed,feed
p103,Dairy camels husbandry,c024,2558,Rape and Mustardseed,feed
p103,Dairy camels husbandry,c026,2560,Coconuts - Incl Copra,feed
p103,Dairy camels husbandry,c027,2561,Sesame seed,feed
p103,Dairy camels husbandry,c030,2570,"Oilcrops, Other",feed
p103,Dairy camels husbandry,c031,2601,Tomatoes and products,feed
p103,Dairy camels husbandry,c032,2602,Onions,feed
p103,Dairy camels husbandry,c033,2605,"Vegetables, Other",feed
p103,Dairy camels husbandry,c034,2611,"Oranges, Mandarines",feed
p103,Dairy camels husbandry,c038,2615,Bananas,feed
p103,Dairy camels husbandry,c039,2616,Plantains,feed
p103,Dairy camels husbandry,c040,2617,Apples and products,feed
p103,Dairy camels husbandry,c042,2619,Dates,feed
