proc_code,proc,comm_code,item_code,item,type
p085,Cattle husbandry,c027,2561,Sesame seed,feed
p085,Cattle husbandry,c030,2570,"Oilcrops, Other",feed
p085,Cattle husbandry,c031,2601,Tomatoes and products,feed
p085,Cattle husbandry,c032,2602,Onions,feed
p085,Cattle husbandry,c033,2605,"Vegetables, Other",feed
p085,Cattle husbandry,c034,2611,"Oranges, Mandarines",feed
p085,Cattle husbandry,c038,2615,Bananas,feed
p085,Cattle husbandry,c039,2616,Plantains,feed
p085,Cattle husbandry,c040,2617,Apples and products,feed
p085,Cattle husbandry,c042,2619,Dates,feed
p085,Cattle husbandry,c044,2625,"Fruits, Other",feed
p085,Cattle husbandry,c046,2633,Cocoa Beans and products,feed
p085,Cattle husbandry,c051,2642,Cloves,feed
p085,Cattle husbandry,c061,2000,Fodder crops,feed
p085,Cattle husbandry,c062,2001,Grazing,feed
p085,Cattle husbandry,c063,2559,Cottonseed,feed
p085,Cattle husbandry,c065,2541,Sugar non-centrifugal,feed
p085,Cattle husbandry,c066,2542,Sugar (Raw Equivalent),feed
p085,Cattle husbandry,c067,2543,"Sweeteners, Other",feed
p085,Cattle husbandry,c068,2571,Soyabean Oil,feed
p085,Cattle husbandry,c071,2574,Rape and Mustard Oil,feed
p085,Cattle husbandry,c074,2577,Palm Oil,feed
p085,Cattle husbandry,c076,2579,Sesameseed Oil,feed
p085,Cattle husbandry,c077,2580,Olive Oil,feed
p085,Cattle husbandry,c080,2586,"Oilcrops Oil, Other",feed
p085,Cattle husbandry,c081,2590,Soyabean Cake,feed
p085,Cattle husbandry,c082,2591,Groundnut Cake,feed
p085,Cattle husbandry,c083,2592,Sunflowerseed Cake,feed
p085,Cattle husbandry,c084,2593,Rape and Mustard Cake,feed
p085,Cattle husbandry,c085,2594,Cottonseed Cake,feed
p085,Cattle husbandry,c086,2595,Palmkernel Cake,feed
p085,Cattle husbandry,c087,2596,Copra Cake,feed
p085,Cattle husbandry,c088,2597,Sesameseed Cake,feed
p085,Cattle husbandry,c089,2598,"Oilseed Cakes, Other",feed
p085,Cattle husbandry,c096,866,Cattle,seedwaste
p085,Cattle husbandry,c109,2848,Milk - Excluding Butter,feed
p085,Cattle husbandry,c110,2740,"Butter, Ghee",feed
p085,Cattle husbandry,c111,2744,Eggs,feed
p085,Cattle husbandry,c113,2731,Bovine Meat,feed
p085,Cattle husbandry,c114,2732,Mutton & Goat Meat,feed
