Category;feed_name;feed_id;feed_dry_matter;item_code;source
Oil crop cakes;Cake of Oilseeds nes;F225;89,3;341;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Animal products;Whey, dry;F231;97;900;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Animal products;Whey, Condensed;F232;97,7;89;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Animal products;Whole milk powder;F233;96;897;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Animal products;Skim milk and whey powder;F234;94,8;898;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Germ of Wheat;F255;88,7;19;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Germ of Maize;F260;93,2;57;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Oats, Rolled;F261;87,6;76;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Rice, Milled;F264;88;31;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Rice, Broken;F265;87,5;32;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Flour of Cassava;F267;89;126;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Flour of Fruits;F270;90;624;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Starch of Maize;F277;88,1;64;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Starch of Potatoes;F278;86,9;119;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
Other;Starch of Cassava;F279;89;129;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Molasses (from cane);F295;73;165;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Molasses (from beet);F296;75,4;165;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Bran of Wheat;F308;87;17;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Bran of Rice;F309;90,5;35;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Bran of Maize;F311;88,7;59;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Bran of Rye;F312;88;73;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Bran of Oats;F313;90,6;77;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Bran of Millet;F314;92;81;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Bran of Buckwheat;F316;88,4;91;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Bran of Mixed Grain;F319;89,4;105;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Maize Gluten meal;F329;90;63;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
By-products;Maize Gluten feed;F330;88,3;846;GLEAM data explorer: https://foodandagricultureorganization.shinyapps.io/GLEAM_Data_Explorer/
