crop;item 
Wheat/Durum;Wheat and products
Wheat/Native;Wheat and products
Wheat/Spring;Wheat and products
Wheat/Winter;Wheat and products
Yam;Yams
bean;Beans
carrot;Vegetables, Other
cauliflower;Vegetables, Other
cereals (Other);Cereals, Other
citrus Fruits;Citrus,Other
coconut;Coconuts - Incl Copra
cucumber;Vegetables, Other
maize;Maize and products
oat;Oats
sugar Beet;Sugar beet
sugar Cane;Sugar cane
sugar cane;Sugar cane
sunflower;Sunflower seed
vegetables;Vegetables, Other
Cottonseed;Cottonseed
